Timestamp,Gender:,Age:,Academic Level:,Major:,Have you ever been enrolled in a course that included a project as part of its coursework?,What was your grade in the course in the last semester? ,How would you rate your understanding of the course material? ,Do you believe that having a project positively impacted your overall performance in the course? ,"If you believe that having a project positively impacted your performance, how did it contribute? "
3/7/2024 17:43:54,male,20,Senior,Computer Science,Yes,B,3,Yes,Improved understanding
3/7/2024 17:44:21,male,19,Sophomore,Computer Science,Yes,B,4,Yes,"Improved understanding, Higher engagement, Gaining practical experience"
3/7/2024 17:45:44,male,19,Sophomore,Computer Science,Yes,D,1,Yes,Higher engagement
3/7/2024 17:47:09,male,19,Sophomore,Computer Science,Yes,A,5,Yes,"Improved understanding, Enhanced motivation, Higher engagement, Gaining practical experience, Reinforcing learning"
3/7/2024 17:47:42,male,20,Sophomore,Computer Science,Yes,A,5,Yes,Enhanced motivation
3/7/2024 17:49:53,Female,19,Sophomore,Computer Science,Yes,A,5,Yes,"Enhanced motivation, Higher engagement, Gaining practical experience, Reinforcing learning"
3/7/2024 17:50:07,male,20,Sophomore,Computer Science,Yes,A,5,Yes,Gaining practical experience
3/7/2024 17:51:01,male,20,Sophomore,Engineering,Yes,B,4,Yes,"Improved understanding, Enhanced motivation, Higher engagement, Gaining practical experience"
3/7/2024 17:55:42,Female,19,Sophomore,Computer Science,Yes,B,3,Yes,"Improved understanding, Enhanced motivation, Gaining practical experience"
3/7/2024 17:55:57,male,18,Sophomore,Computer Science,Yes,B,4,No,"Enhanced motivation, Higher engagement, Gaining practical experience"
3/7/2024 17:59:36,Female,19,Sophomore,Computer Science,Yes,C,3,Yes,"Improved understanding, Gaining practical experience, Reinforcing learning"
3/7/2024 18:15:20,male,20,Sophomore,Computer Science,Yes,A,5,Yes,"Improved understanding, Higher engagement, Gaining practical experience"
3/7/2024 18:29:09,male,20,Sophomore,Computer Science,Yes,C,3,Yes,"Improved understanding, Gaining practical experience"
3/7/2024 19:03:17,male,20,Sophomore,Computer Science,Yes,A,5,Yes,"Improved understanding, Enhanced motivation, Gaining practical experience"
3/7/2024 19:16:51,male,18,Sophomore,Computer Science,Yes,A,4,Yes,"Higher engagement, Gaining practical experience"
3/7/2024 19:42:27,male,19,Sophomore,Computer Science,Yes,C,3,Yes,Gaining practical experience
3/7/2024 19:50:53,male,19,Sophomore,Computer Science,Yes,B,4,Yes,"Improved understanding, Enhanced motivation"
3/8/2024 21:05:44,Female,19,Sophomore,Computer Science,Yes,A,4,Yes,"Improved understanding, Enhanced motivation, Higher engagement, Gaining practical experience, Reinforcing learning"
